dau,volume,date
1,0,2018-07-08
0,0,2018-07-09
265,296.6761,2018-07-10
256,999.084,2018-07-11
143,200.1692,2018-07-12
116,196.4095,2018-07-13
77,236.6436,2018-07-14
117,280.4093,2018-07-15
101,1158.3743,2018-07-16
123,829.4539,2018-07-17
101,1356.7991,2018-07-18
97,1004.8678,2018-07-19
96,506.9497,2018-07-20
76,1286.075,2018-07-21
99,55.8307,2018-07-22
79,135.3476,2018-07-23
81,165.1307,2018-07-24
109,427.8318,2018-07-25
115,669.3913,2018-07-26
105,1913.8503,2018-07-27
75,235.1066,2018-07-28
86,238.5251,2018-07-29
89,282.7988,2018-07-30
105,145.4137,2018-07-31
87,335.5485,2018-08-01
74,267.2407,2018-08-02
69,232.3207,2018-08-03
63,182.1169,2018-08-04
65,211.487,2018-08-05
62,45.1456,2018-08-06
52,189.7717,2018-08-07
35,99.3172,2018-08-08
29,25.1742,2018-08-09
46,160.0321,2018-08-10
32,577.0306,2018-08-11
37,199.3603,2018-08-12
43,331.6257,2018-08-13
47,857.9089,2018-08-14
31,777.0325,2018-08-15
44,367.9906,2018-08-16
38,369.3997,2018-08-17
56,551.4006,2018-08-18
37,264.1908,2018-08-19
40,528.285,2018-08-20
46,260.3085,2018-08-21
50,643.4288,2018-08-22
46,627.8084,2018-08-23
46,48.367,2018-08-24
47,34.6531,2018-08-25
38,88.7842,2018-08-26
41,71.828,2018-08-27
31,36.3849,2018-08-28
28,17.7558,2018-08-29
29,45.5556,2018-08-30
35,11.4186,2018-08-31
35,38.6742,2018-09-01
38,51.4374,2018-09-02
60,25.1124,2018-09-03
31,35.0571,2018-09-04
38,175.9372,2018-09-05
46,83.0206,2018-09-06
31,51.3275,2018-09-07
30,126.9782,2018-09-08
31,86.9066,2018-09-09
38,795.0751,2018-09-10
33,41.8545,2018-09-11
28,37.6665,2018-09-12
30,16.1879,2018-09-13
29,151.6821,2018-09-14
34,123.4641,2018-09-15
41,107.4915,2018-09-16
35,175.5346,2018-09-17
26,404.1434,2018-09-18
28,94.7437,2018-09-19
20,37.3608,2018-09-20
32,136.8257,2018-09-21
28,17.9349,2018-09-22
33,48.1369,2018-09-23
30,117.0583,2018-09-24
35,162.4088,2018-09-25
11,8.5186,2018-09-26
28,164.3258,2018-09-27
28,153.5777,2018-09-28
35,103.0828,2018-09-29
31,145.1432,2018-09-30
28,76.3511,2018-10-01
33,25.6064,2018-10-02
38,181.8851,2018-10-03
41,53.9905,2018-10-04
33,44.0963,2018-10-05
49,28.9345,2018-10-06
51,91.6817,2018-10-07
42,377.1661,2018-10-08
29,98.4884,2018-10-09
34,97.6302,2018-10-10
36,152.6964,2018-10-11
21,126.6439,2018-10-12
23,88.3088,2018-10-13
35,59.4329,2018-10-14
36,65.6768,2018-10-15
29,64.0341,2018-10-16
40,38.5715,2018-10-17
31,88.4309,2018-10-18
19,345.0891,2018-10-19
38,683.4573,2018-10-20
46,204.7861,2018-10-21
31,178.1019,2018-10-22
41,837.8003,2018-10-23
30,80.8916,2018-10-24
31,147.4713,2018-10-25
28,811.4022,2018-10-26
35,360.3012,2018-10-27
52,334.7184,2018-10-28
56,654.9557,2018-10-29
28,272.4881,2018-10-30
35,1171.0149,2018-10-31
39,312.5182,2018-11-01
43,381.8097,2018-11-02
41,291.6404,2018-11-03
51,617.1582,2018-11-04
58,1037.3961,2018-11-05
124,1573.7139,2018-11-06
151,2934.6209,2018-11-07
56,567.0902,2018-11-08
47,792.9615,2018-11-09
44,276.8098,2018-11-10
52,1236.521,2018-11-11
43,143.1002,2018-11-12
48,344.7251,2018-11-13
36,708.6601,2018-11-14
35,159.0427,2018-11-15
31,45.9257,2018-11-16
29,43.8305,2018-11-17
37,74.3489,2018-11-18
36,618.283,2018-11-19
27,1341.4529,2018-11-20
24,3696.9091,2018-11-21
32,411.3636,2018-11-22
29,300.2408,2018-11-23
34,129.9227,2018-11-24
24,208.6189,2018-11-25
32,61.1555,2018-11-26
24,83.5523,2018-11-27
31,80.2868,2018-11-28
19,92.221,2018-11-29
17,27.3821,2018-11-30
26,135.1191,2018-12-01
31,85.1174,2018-12-02
29,531.7125,2018-12-03
20,178.3781,2018-12-04
21,64.7182,2018-12-05
24,192.8467,2018-12-06
28,248.1982,2018-12-07
23,61.6745,2018-12-08
23,35.4382,2018-12-09
18,42.4428,2018-12-10
20,50.2204,2018-12-11
28,48.4768,2018-12-12
23,54.09,2018-12-13
19,115.4183,2018-12-14
23,29.9524,2018-12-15
34,47.8524,2018-12-16
25,16.9629,2018-12-17
16,14.1335,2018-12-18
15,27.2224,2018-12-19
18,33.3465,2018-12-20
22,93.5697,2018-12-21
21,49.267,2018-12-22
24,147.0419,2018-12-23
36,155.5464,2018-12-24
18,12.4104,2018-12-25
24,57.8368,2018-12-26
19,44.4809,2018-12-27
21,65.1862,2018-12-28
29,109.9957,2018-12-29
27,61.3372,2018-12-30
28,45.7981,2018-12-31
19,28.1874,2019-01-01
32,44.4562,2019-01-02
25,42.6268,2019-01-03
27,14.9998,2019-01-04
28,47.8075,2019-01-05
32,85.8921,2019-01-06
25,29.5275,2019-01-07
24,139.753,2019-01-08
17,23.695,2019-01-09
31,61.5346,2019-01-10
34,144.1609,2019-01-11
26,69.0161,2019-01-12
28,76.7765,2019-01-13
19,43.5411,2019-01-14
27,23.2949,2019-01-15
29,37.8447,2019-01-16
27,26.5527,2019-01-17
28,72.7837,2019-01-18
24,24.2458,2019-01-19
60,217.9036,2019-01-20
42,69.2019,2019-01-21
36,56.3003,2019-01-22
34,143.2129,2019-01-23
42,191.1144,2019-01-24
32,43.6062,2019-01-25
28,88.2577,2019-01-26
43,60.8758,2019-01-27
28,130.1241,2019-01-28
36,146.1879,2019-01-29
40,81.6476,2019-01-30
43,999.9526,2019-01-31
42,138.7307,2019-02-01
44,1898.5334,2019-02-02
119,4269.3113,2019-02-03
69,781.988,2019-02-04
51,111.1803,2019-02-05
38,31.5779,2019-02-06
18,32.5918,2019-02-07
36,127.7056,2019-02-08
32,28.0008,2019-02-09
50,342.0725,2019-02-10
34,140.0584,2019-02-11
34,47.5731,2019-02-12
28,61.4154,2019-02-13
33,70.8702,2019-02-14
20,71.2098,2019-02-15
30,41.9738,2019-02-16
45,37.435,2019-02-17
43,71.0541,2019-02-18
30,48.3775,2019-02-19
30,37.932,2019-02-20
22,29.1493,2019-02-21
21,79.8858,2019-02-22
20,42.1052,2019-02-23
34,25.2944,2019-02-24
32,58.7769,2019-02-25
27,34.7411,2019-02-26
17,29.2054,2019-02-27
26,28.2942,2019-02-28
24,63.5821,2019-03-01
23,72.1883,2019-03-02
31,20.2844,2019-03-03
26,19.7254,2019-03-04
25,56.6969,2019-03-05
31,70.6208,2019-03-06
30,27.5562,2019-03-07
25,27.9719,2019-03-08
11,44.1262,2019-03-09
23,44.203,2019-03-10
38,47.1397,2019-03-11
34,107.7449,2019-03-12
31,121.4946,2019-03-13
36,213.644,2019-03-14
46,221.3068,2019-03-15
42,306.155,2019-03-16
70,496.1766,2019-03-17
51,185.8264,2019-03-18
50,108.2601,2019-03-19
54,113.0896,2019-03-20
42,119.0042,2019-03-21
32,129.4682,2019-03-22
37,1069.3128,2019-03-23
39,231.5307,2019-03-24
41,1797.3632,2019-03-25
39,95.4199,2019-03-26
36,71.413,2019-03-27
55,588.5497,2019-03-28
46,454.8819,2019-03-29
37,787.2625,2019-03-30
78,1645.5532,2019-03-31
47,337.0436,2019-04-01
32,166.9464,2019-04-02
30,66.0708,2019-04-03
32,498.8927,2019-04-04
31,341.0331,2019-04-05
25,166.6718,2019-04-06
39,133.0486,2019-04-07
35,57.0273,2019-04-08
43,234.2061,2019-04-09
43,279.9021,2019-04-10
50,124.6547,2019-04-11
38,279.6586,2019-04-12
20,35.2662,2019-04-13
71,1461.3183,2019-04-14
52,482.3634,2019-04-15
39,1331.9869,2019-04-16
52,214.0106,2019-04-17
39,761.2335,2019-04-18
35,85.6408,2019-04-19
35,721.5056,2019-04-20
35,1297.5106,2019-04-21
29,366.4172,2019-04-22
29,87.7122,2019-04-23
42,406.3268,2019-04-24
44,98.5009,2019-04-25
29,45.0363,2019-04-26
25,15.7695,2019-04-27
45,13.4467,2019-04-28
29,128.5366,2019-04-29
26,45.8369,2019-04-30
25,27.0557,2019-05-01
23,309.3856,2019-05-02
37,322.8223,2019-05-03
27,77.6076,2019-05-04
43,443.6771,2019-05-05
32,403.5134,2019-05-06
27,52.4436,2019-05-07
38,159.1887,2019-05-08
34,322.8072,2019-05-09
39,184.6501,2019-05-10
39,274.9138,2019-05-11
63,42.5022,2019-05-12
44,105.5096,2019-05-13
34,27.6201,2019-05-14
23,61.5979,2019-05-15
19,154.6935,2019-05-16
28,61.6833,2019-05-17
38,50.5723,2019-05-18
45,116.5002,2019-05-19
34,48.6912,2019-05-20
34,37.2739,2019-05-21
30,53.9041,2019-05-22
32,38.8466,2019-05-23
24,32.3618,2019-05-24
28,138.0451,2019-05-25
52,142.2797,2019-05-26
45,67.6973,2019-05-27
36,104.145,2019-05-28
36,115.0621,2019-05-29
35,194.0796,2019-05-30
32,346.878,2019-05-31
46,249.6235,2019-06-01
43,101.1602,2019-06-02
24,49.809,2019-06-03
26,27.9486,2019-06-04
28,79.9481,2019-06-05
31,109.458,2019-06-06
20,47.591,2019-06-07
28,100.1389,2019-06-08
43,230.2456,2019-06-09
24,79.8888,2019-06-10
41,82.2261,2019-06-11
27,37.0852,2019-06-12
38,68.1291,2019-06-13
27,49.3179,2019-06-14
21,37.5264,2019-06-15
60,118.1928,2019-06-16
19,156.8542,2019-06-17
