Account,Winnings (ETH),Amount Wagered,ROI,Trades
0x482df8...,1687.88,2119.53,79.60%,107
0xb65bb5...,530.07,1892.86,28%,89
0x5f4160...,296.21,1161.84,25.50%,19
0xd1ce6d...,218.74,415.73,52.60%,201
0x76af50...,194.57,377.71,51.50%,86
0x9ab8bc...,194.01,971.92,20%,28
0x309b38...,179.99,231.01,77.90%,15
0xc64e96...,168.76,11529.93,1.50%,1295
0x797f63...,165.28,1154.12,14.30%,106
0xcd035f...,122.94,87.82,140%,9
0x13e21e...,115.84,470.16,24.60%,27
0x28e379...,105.71,149.08,70.90%,53
0xc5c99d...,101.53,46.95,216.20%,15
0xf73345...,97.75,171.14,57.10%,30
0x237419...,87.69,350.32,25%,20
0x9e2ba3...,84.69,206.99,40.90%,42
0x0ff2af...,70.11,232.09,30.20%,156
0x2a544e...,68.05,477.22,14.30%,826
0x0977da...,63.97,5288.19,1.20%,60
0xb1a587...,62.56,379.88,16.50%,237
0x06ec2f...,60.89,21.7,280.70%,4
0x9ce8f8...,43.56,170.83,25.50%,148
0xcacba6...,42.55,649.97,6.50%,156
0xa43e1f...,41.78,108.62,38.50%,13
0x408bcc...,39.37,967.39,4.10%,211
0x2404a3...,36.78,1764.53,2.10%,248
0xecabc6...,34.8,198.18,17.60%,8
0x12475b...,33.34,100,33.30%,1
0x4a8b49...,32.37,101.36,31.90%,18
0xa0085f...,32.31,38.7,83.50%,4
0xb0011a...,30.7,39,78.70%,6
0x0e1e3d...,28.3,229.29,12.30%,72
0xc6f776...,25.42,142.2,17.90%,128
0xbf473d...,24.56,19.66,124.90%,30
0x713558...,23.57,35.01,67.30%,41
0x34ff58...,23.38,414.67,5.60%,24
0x6d9d70...,22.1,121.74,18.20%,87
0x828c6d...,20.32,198.87,10.20%,83
0xb7398d...,16.5,9.44,174.70%,28
0x260f18...,16.02,92.98,17.20%,10
0x88c1db...,15.46,19.24,80.30%,9
0x19abba...,15.24,67.86,22.40%,15
0xda46d2...,15.16,68.9,22%,14
0xc897a7...,13.79,6.21,221.90%,2
0x122a77...,13.29,21.21,62.70%,5
0xa7f3df...,13.27,293.63,4.50%,194
0x1a7416...,12.4,12.4,100%,2
0x65c80c...,12,85.19,14.10%,55
0xeeab37...,11.94,236.72,5%,68
0x62fe1e...,11.23,134.07,8.40%,20
0x008c84...,10.67,1497.91,0.70%,179
0xbde4cd...,10.48,30.82,34%,36
0x31a727...,10.06,6.03,166.80%,12
0xbf7cd2...,10,10,100%,1
0xede74a...,10,10,100%,1
0x0a0a29...,9.66,27.69,34.90%,12
0x284e60...,9.31,2.1,443.50%,6
0xa2b08a...,8.99,18.97,47.40%,7
0xd24e0a...,8.86,26.56,33.30%,29
0x5ea770...,8.7,180.71,4.80%,55
0xfc987b...,8.32,32.63,25.50%,67
0x54d7a0...,8.19,158.72,5.20%,142
0x5f4b7d...,8.07,24.43,33%,9
0xf60df5...,7.87,27.71,28.40%,14
0x363e86...,7.77,58.8,13.20%,49
0xb9a8de...,7.65,4.63,165.30%,5
0xfe1259...,7.2,35.8,20.10%,14
0x642fd5...,6.98,7.73,90.40%,2
0x1cd2eb...,6.58,57.45,11.50%,34
0xeee61d...,6.47,10.33,62.60%,2
0xbdd10d...,6.46,9.31,69.40%,10
0x819dbf...,6.27,212.23,3%,128
0xe63c23...,5.95,12.25,48.50%,5
0x983f14...,5.72,26.05,22%,8
0x196a5b...,5.69,314.17,1.80%,234
0x5051be...,5.58,54.97,10.10%,47
0x462435...,5.52,11.15,49.50%,2
0x3fc53f...,5.49,2.97,184.60%,9
0xce98b7...,5.46,40.3,13.50%,12
0x6a53cb...,5.43,28.09,19.30%,9
0x51e23a...,5.43,57.9,9.40%,9
0x34e717...,5.3,19.7,26.90%,2
0x6a4bb8...,5.29,14.63,36.20%,20
0xdf8d7f...,5.24,118.69,4.40%,102
0x3b93b3...,5.18,20.98,24.70%,47
0x70c6f7...,5.14,39.93,12.90%,19
0x5c0ac2...,4.85,15.15,32%,2
0xe7c5a5...,4.62,4.87,95%,3
0xc10fcd...,4.57,132.53,3.40%,26
0x1c7f45...,4.55,5.45,83.50%,1
0x7a442e...,4.33,12.65,34.20%,15
0xea310c...,4.33,10.01,43.20%,2
0x85d217...,4.21,22.48,18.70%,18
0xc2408c...,4.12,1.45,283.60%,4
0x2e1010...,4.09,4.93,83%,7
0x028b7c...,4.06,8.74,46.50%,3
0x485167...,4.05,9.07,44.70%,13
0xefaef3...,4.05,1.11,364.40%,3
